description,class,class_reason,tool,is_invasive,tool_reason,is_invasive_reason,,,,
R CT LOW EXT W/O C RIGHT,MSK Lower Limb,CT scan of the right lower extremity images the bones and soft tissues of the leg,CT,No,,,,,,
CHG NEPHROTOMY/PYLOSTOMY TUBE,Genitourinary,Changing a nephrostomy or pyelostomy tube involves percutaneously inserting a catheter into the kidney or ureter under imaging guidance,Interventional Procedure,Yes,,,,,,
CT UP EXT W/O C,MSK Upper Limb,CT scan of the upper extremity images the bones and soft tissues of the arm,CT,No,,,,,,
LP UNILAT UP EXT VEINS US LEFT PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
EA 1ST ORDER ABD/PEL/LOWER EXT A-GRAM,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,No,,,,,,
CHEST CTA WITH CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No,,,,,,
C-SPINE FLEX AND EXT ONLY 2 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
CT TRACHEA W/O C W/3D REND,Chest,CT of the trachea images the airway in the chest region,CT,No,,,,,,
L SHOULDER 2-3 VIEWS NON TRAUMA LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
MMS SUGICAL PLANNING SERVICE,Irrelevant,"Surgical planning service code, not an imaging exam",,No,,,,,,
UNILAT LOWER EXT VEINS,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
C-SPINE (PORTABLE),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
L FOREARM (AP & LAT) LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
MRI ABDOMEN W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No,,,,,,
O PORTABLE ABDOMEN IN O.R.,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
LUMBAR SPINAL PUNCTURE,Spine,Lumbar puncture (spinal tap) inserts a needle between lumbar vertebrae to collect cerebrospinal fluid,Interventional Procedure,Yes,,,,,,
INITAL 2ND ORDER ABD/PEL/LOWER EXT A-GRAM,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,No,,,,,,
BX-NEEDLE KIDNEY BY NEPHROLOGIST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Interventional Procedure,Yes,,,,,,
O CHEST FLUORO WITHOUT RADIOLOGIST IN O.R.,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
P CHEST (SINGLE VIEW) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
R FOREARM (AP & LAT) RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BAS/UGI AIR/SBFT,Abdomen,"Upper GI series with small bowel follow‑through uses fluoroscopy and contrast swallowed by the patient to image the esophagus, stomach and small intestine",Fluoroscopy,No,,,,,,
DIG DIAGNOSTIC MAMMO BILATERAL,Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
EXCH CENTRAL TUNNELED W/O PORT,Vascular,Exchange of a central tunneled catheter uses image guidance to remove and replace the catheter through a vein,Interventional Procedure,Yes,,,,,,
L CT LOW EXT W/O C LEFT,MSK Lower Limb,CT scan of the left lower extremity images bones and soft tissues of the leg,CT,No,,,,,,
ERCP BILIARY ONLY BY GI UNIT,Abdomen,Endoscopic retrograde cholangiopancreatography uses endoscopy and x‑ray to visualize and treat the bile ducts,Endoscopy/Fluoroscopy,Yes,,,,,,
MAMMOGRAM (SCREENING),Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
RENAL U.S. (PORTABLE),Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
INTRO CATH RENAL PELVIS FOR DRAINAGE,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,Angiography,Yes,,,,,,
O C-SPINE NON-TRAUMA 2-3 VIEWS IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
PTA VENOUS,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No,,,,,,
"G TUBE PLACMENT, ALL INCL.",Abdomen,Gastrostomy tube placement introduces a feeding tube through the skin into the stomach using x‑ray guidance,Fluoroscopy,Yes,,,,,,
CT PERITINEAL DRAIN EXCLUDING APPENDICEAL,Abdomen,CT‑guided peritoneal drain placement uses CT imaging to guide a drainage catheter into abdominal fluid collections,CT,Yes,,,,,,
INTRO PERC TRNASHEPATIC STENT,Abdomen,Percutaneous transhepatic stent placement involves inserting a needle through the skin into a bile duct under imaging guidance and placing a stent in the hepatic/biliary systemhttps://www.radiologyinfo.org/en/info/biliary#:~:text=Biliary%20interventions%20include%3A.,Fluoroscopy,Yes,,,,,,
"B KNEE (AP, LAT & OBLIQUE) BILAT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"GB DRAINAGE,INTRO PERC TRANHEP BIL US",Abdomen,Percutaneous transhepatic gallbladder/biliary drainage uses ultrasound guidance to insert a catheter through the liver for drainagehttps://www.radiologyinfo.org/en/info/biliary#:~:text=Biliary%20interventions%20include%3A.,Ultrasound,Yes,,,,,,
L VENOUS DUP EXT UNI (MAP/DVT) LEFT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
ART EXT (REST&EXERCISE),Vascular,Arterial extremity study with rest and exercise refers to Doppler ultrasound evaluation of limb arteries under exercise conditions.,Ultrasound,No,,,,,,
COMPLETE GU U.S. (BLADDER & RENAL),Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
CT CHEST W&W/O C,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No,,,,,,
MR-ANGIO HEAD,Head,The description involves imaging of the head or skull.,Angiography,Yes,,,,,,
CT STEREOTAXIS W/ CONTRAST,Head,A CT stereotactic study is used for surgical planning of brain procedures and is a non-diagnostic CT scan of the headhttps://radiopaedia.org/cases/ct-brain-stereotactic-study#:~:text=The%20brain%20is%20unremarkable,targeting%20in%20movement%20disorder%20surgery.,CT,No,,,,,
R VENOUS DUP EXT UNI (MAP/DVT) RIGHT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
UGI SGL CONTRAST W/ KUB,Abdomen,"An upper GI series uses real-time x-ray (fluoroscopy) with barium contrast to image the esophagus, stomach and duodenum and is considered safe and noninvasivehttps://www.radiologyinfo.org/en/info/uppergi#:~:text=Upper%20gastrointestinal%20tract%20radiography%20or,blood%20in%20the%20stool%20andhttps://www.radiologyinfo.org/en/info/uppergi#:~:text=Fluoroscopy%20makes%20it%20possible%20to,the%20esophagus%2C%20stomach%20and%20duodenum.",Fluoroscopy,No,,,,,,
CHEST U.S.,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No,,,,,,
P CHEST (PRE-OP AP ONLY) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
"CT ABD & PELVIS W & W/O CONTRAST, ADDL SECTIONS",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
P DUPLEX DOPP ABD/PEL PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
SCOLIOSIS SERIES,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"B FOOT AP,LAT & OBL BILAT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
G/GJ TUBE CHECK,Abdomen,A feeding tube check involves injecting contrast through an existing gastric or gastrojejunostomy tube and taking abdominal x-rays; this does not require new tube insertionwww.gundersenhealth.org/sites/default/files/imaging-protocol/Imaging-Protocol-XR-Abdomen-Abdomen-w-contrast.pdf#:~:text=Abdomen%20films%20are%20done%20to,of%20a%20chronic%20feeding%20tube.,X-ray,No,,,,,
TEETH (PANOREX FOR DENTAL),Head,"A panoramic dental x-ray (Panorex) uses a small dose of ionizing radiation to capture the entire mouth, including teeth and jaws, in a single imagehttps://www.radiologyinfo.org/en/info/panoramic-xray#:~:text=Panoramic%20dental%20x,dentures%2C%20braces%2C%20extractions%20and%20implantshttps://www.radiologyinfo.org/en/info/panoramic-xray#:~:text=Panoramic%20radiography%2C%20also%20called%20panoramic,jaws%2C%20surrounding%20structures%20and%20tissues.",X-ray,No,,,,,,
"PELVIS U.S., TRANSVAGINAL",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,Ultrasound,No,,,,,,
"B HAND (AP, LAT & OBLIQUE) BILAT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"CT ORBIT, SELLA & IAC W/O CONTRAST",Head,"CT scans of the orbits, sella turcica and internal auditory canals evaluate structures in the head and skull using computed tomography.",CT,No,,,,,,
MRI PELVIS W/O & W/CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No,,,,,,
UNRELATED PROCEDURE/SERVICE DURING POSTOPERATIVE PERIOD,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
CT GUIDANCE DRAINAGE,Abdomen,"CT-guided drainage involves using CT imaging to guide placement of a catheter to drain an abscess or fluid collection, which is a minimally invasive procedurehttps://pmc.ncbi.nlm.nih.gov/articles/PMC8702416/#:~:text=Abstract.",CT,Yes,,,,,,
R RENAL TRANSPLANT U.S. RIGHT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
SMALL BOWEL ONLY (BARIUM),Abdomen,A small bowel follow-through exam uses fluoroscopy and barium contrast to image the small intestine and is safe and noninvasivehttps://capitolimagingservices.com/small-bowel-follow-through/#:~:text=A%20Small%20Bowel%20Follow%20Through,polyps%2C%20cancer%20and%20other%20symptoms.,Fluoroscopy,No,,,,,
CAD SCREENING,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
INTRO DIALYSIS FISTULA,Vascular,Creation or introduction of a dialysis fistula is an interventional vascular procedure to establish vascular access for dialysis.,Interventional procedure,Yes,,,,,,
TRANSCATHETER BIOPSY,Vascular,"A transcatheter biopsy uses catheters and imaging guidance to obtain tissue samples via the vascular system, making it an interventional radiology procedure.",Interventional procedure,Yes,,,,,,
CT PELVIS W&W/O C,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,CT,No,,,,,,
REDUCED SERVICES,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
GASTRIC EMPTYING STUDY,Abdomen,A gastric emptying study (scintigraphy) is a nuclear medicine test in which the patient ingests a meal containing a radioactive tracer and imaging tracks how food moves through the stomachhttps://my.clevelandclinic.org/health/diagnostics/gastric-emptying-study#:~:text=The%20most%20common%20method%20for,a%20radioactive%20tracer%20in%20it.,Nuclear medicine,No,,,,,
CT EMERGENCY HEAD W/O CONTRAST,Head,The description involves imaging of the head or skull.,CT,No,,,,,,
"L FINGER(S),2+VIEWS LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
PERIPHERAL W/O PORT,Vascular,This refers to placement of a peripheral vascular catheter without a port; catheter insertion is an interventional vascular procedure.,Interventional procedure,Yes,,,,,,
MR 3D RENDERING W/POST PROCESSING ON INDEPENDENT WS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No,,,,,,
CTA AORTA/BIFEM/ILIAC RUNOFF W/W&WO C AND RECONS,Vascular,The description involves imaging of blood vessels or vascular structures.,CT,No,,,,,,
"REPLACE GJ TUBE, ALL INCL.",Abdomen,"Replacing a gastrojejunostomy tube involves removing an existing feeding tube and inserting a new one under imaging guidance, which is an invasive abdominal procedurehttps://www.albanyir.com/gastrostomy-tube-placement#:~:text=A%20gastrostomy%20tube%20is%20a,an%20interventional%20radiologist%20using%20fluoroscopy.",Fluoroscopy,Yes,,,,,,
MULTI-PROCEDURE SAME DAY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
DIG SCREENING WITH CAD MAMMOGRAM,Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
P RENAL TRANSPLANT U.S. PORT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
"PELVIS (AP, INLET & OUTLET)",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
O CHEST (PORTABLE AP) IN O.R.,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
REPOSITION CATHETER,Vascular,Repositioning a catheter under image guidance is a vascular interventional procedure requiring access to the vascular system.,Interventional procedure,Yes,,,,,,
L FEMORAL VASCULAR US LEFT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
"REPLACE G OR C TUBE, ALL INCL.",Abdomen,Replacing a gastrostomy (G) or cecostomy (C) tube involves removing and reinserting a feeding tube under imaging guidancehttps://www.albanyir.com/gastrostomy-tube-placement#:~:text=A%20gastrostomy%20tube%20is%20a,an%20interventional%20radiologist%20using%20fluoroscopy.,Fluoroscopy,Yes,,,,,
ART EXT SGL LEVEL,Vascular,"An arterial extremity study single level refers to Doppler ultrasound of a limb artery, which uses ultrasound to assess blood flow and is noninvasive.",Ultrasound,No,,,,,,
BABYGRAM (ABD ANY SGL VIEW) (74000),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
CTA ABD & PELVIS,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
P TRAUMA #2 (AP CXR & PELVIS PORT) PORT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
REPOSITION GASTRIC TUBE INTO DUODENUM,Abdomen,Repositioning a gastric tube into the duodenum is performed under fluoroscopic or endoscopic guidance and involves manipulating a feeding tube.,Fluoroscopy,Yes,,,,,,
MR THORACIC SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No,,,,,,
MRA NECK W&W/O CONTRAST,Neck,The description involves imaging of the neck or cervical region.,MRI,No,,,,,,
IMPLANT VENOUS ACCESS PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
INITAL 3RD ORDER ABD/PEL/LOWER EXT A-GRAM,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,No,,,,,,
"NECK,SOFT TISSUE US",Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
SKELETAL SURVEY (INCLUD LONG BONES),Whole-body/Polytrauma,A skeletal survey is a series of x-rays of the entire skeleton to evaluate bone disease or metastases.,X-ray,No,,,,,,
MR CARDIAC MORPH/FX P/P CONTRAST,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,MRI,No,,,,,,
P CHEST (PA & LAT) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
PORTABLE HEAD CT W/O CONTRAST,Head,The description involves imaging of the head or skull.,CT,No,,,,,,
"FOLLOW-UP,REQUEST BY RAD.",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
O HIP 1 VIEW IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B FEMUR (AP & LAT) BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
UNILAT BREAST US,Breast,The description involves imaging of the breasts.,X-ray,No,,,,,,
ART DUP EXT LOW/BILAT COMP,Vascular,An arterial duplex exam of the lower extremities (bilateral complete) is an ultrasound evaluation of leg arteries to assess blood flow.,Ultrasound,No,,,,,,
B WRIST(3 + VIEWS) BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
CT CHEST W/CONTRAST W/ONC TABLE,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No,,,,,,
INJ NEPHROSTOMY/PYLOSTOMY,Genitourinary,Injection into a nephrostomy or pyelostomy involves injecting contrast through an existing kidney drainage catheter and imaging the urinary tract.,Fluoroscopy,Yes,,,,,,
L CLAVICLE LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
